Priority,Store name,Category,Original category,Rating,Review count,Address,Phone,Google Maps URL,Source keywords,Why relevant / caution,Email / contact page,Website,Instagram,Outreach status,Notes,Source files
A,Classic Cameras AU,Camera store,相機專賣店,5.0,(39),Ste 20/37 Alexander St,+61 435 310 644,https://www.google.com/maps/place/Classic+Cameras+AU/data=!4m7!3m6!1s0x257820d30b5844c9:0x96a5e3184b24fb0d!8m2!3d-33.827468!4d151.2022759!16s%2Fg%2F11s45yh66d!19sChIJyURYC9MgeCURDfskSxjjpZY?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, used camera store, vintage camera store",Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, used camera store Sydney.csv, vintage camera store Sydney.csv"
A,Kudos Cameras,Wholesaler,批發商,5.0,(14),"Kudos Cameras Sydney, 5/37 Charlotte St",+61 2 8599 2858,https://www.google.com/maps/place/Kudos+Cameras/data=!4m7!3m6!1s0x6b12b1e6dc77d339:0xebdb84aea7027a40!8m2!3d-33.9206642!4d151.0994882!16s%2Fg%2F11cm0j6w7n!19sChIJOdN33OaxEmsRQHoCp66E2-s?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, used camera store, vintage camera store",Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, used camera store Sydney.csv, vintage camera store Sydney.csv"
A,Cult Cameras,Camera store,相機專賣店,5.0,(10),459 King St,+61 411 107 308,https://www.google.com/maps/place/Cult+Cameras/data=!4m7!3m6!1s0x6b12b1d9cee3d6ed:0x98b339abbdd1274!8m2!3d-33.901567!4d151.1784693!16s%2Fg%2F11mlkgbkm6!19sChIJ7dbjztmxEmsRdBLdu5oziwk?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, vintage camera store",Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, vintage camera store Sydney.csv"
A,Southern Cross Cameras Australia,Camera store,相機專賣店,5.0,(1),Unit 47/28 Barcoo St,+61 438 828 432,https://www.google.com/maps/place/Southern+Cross+Cameras+Australia/data=!4m7!3m6!1s0x6b12a8b7004d5f81:0xe3dd2306c6c41fe1!8m2!3d-33.7848747!4d151.1965596!16s%2Fg%2F1tfbym8f!19sChIJgV9NALeoEmsR4R_ExgYj3eM?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, used camera store",Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, used camera store Sydney.csv"
A,Mainline Photographics,Camera store,相機專賣店,4.9,(49),Office: 609/ 88/90 George St,+61 490 187 873,https://www.google.com/maps/place/Mainline+Photographics/data=!4m7!3m6!1s0x6b12aee9d738bd9b:0xace9cc0dbe22a27f!8m2!3d-33.7014848!4d151.0998003!16s%2Fg%2F1tfmcd11!19sChIJm7041-muEmsRf6Iivg3M6aw?authuser=0&hl=zh-TW&rclk=1,"camera accessories, used camera store",Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, used camera store Sydney.csv"
A,Photoland,Camera store,相機店,4.8,(429),Shop 5/60 Elizabeth St,+61 2 9235 1933,https://www.google.com/maps/place/Photoland/data=!4m7!3m6!1s0x6b12ae3f8bea1cf9:0x90e1e41585590575!8m2!3d-33.8681514!4d151.2106813!16s%2Fg%2F1tjvtmrj!19sChIJ-Rzqiz-uEmsRdQVZhRXk4ZA?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, used camera store, vintage camera store",Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, used camera store Sydney.csv, vintage camera store Sydney.csv"
A,Tradelectronics,Camera store,相機專賣店,4.7,(316),Suite 101 Floor 1/206/208 Liverpool Rd,+61 426 746 583,https://www.google.com/maps/place/Tradelectronics/data=!4m7!3m6!1s0x6b12aff32ad45b19:0xb7ed23001870a883!8m2!3d-33.8896481!4d151.1256244!16s%2Fg%2F11h80m0__z!19sChIJGVvUKvOvEmsRg6hwGAAj7bc?authuser=0&hl=zh-TW&rclk=1,used camera store,Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search,,,,,,used camera store Sydney.csv
A,Dragon Image,Camera store,相機專賣店,4.6,(149),2 McLachlan Ave,+61 2 9906 5488,https://www.google.com/maps/place/Dragon+Image/data=!4m7!3m6!1s0x6b12aed853848e7f:0x122b75f8f8ca31b!8m2!3d-33.8142817!4d151.1815301!16s%2Fg%2F1thf8qjj!19sChIJf46EU9iuEmsRG6OMj1-3IgE?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, used camera store",Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, used camera store Sydney.csv"
A,CameraClix,Camera store,相機專賣店,4.6,(78),Shop 1057/236 Pacific Hwy,+61 429 226 372,https://www.google.com/maps/place/CameraClix/data=!4m7!3m6!1s0x6b12a7807b6093c3:0x88733185e023094a!8m2!3d-33.7034353!4d151.1013648!16s%2Fg%2F11l9d934_3!19sChIJw5Nge4CnEmsRSgkj4IUxc4g?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, used camera store",Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, used camera store Sydney.csv"
A,Photo Equipment Store Australia,Camera store,相機專賣店,4.4,(44),"Shop 2, 8/10 The Avenue",+61 2 9420 4678,https://www.google.com/maps/place/Photo+Equipment+Store+Australia/data=!4m7!3m6!1s0x6b12bea8b937e81b:0xb286d81b1994227d!8m2!3d-33.966015!4d151.1072831!16s%2Fg%2F1jkw2hrrw!19sChIJG-g3uai-EmsRfSKUGRvYhrI?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, used camera store",Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, used camera store Sydney.csv"
