"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","M4A5Cf 2","ah5Ghc 3","doJOZc","W4Efsd 7"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Myer+Bankstown/data=!4m7!3m6!1s0x6b12bc0f777cf3e3:0xc38a3da0a330ae34!8m2!3d-33.916306!4d151.039589!16s%2Fg%2F1tdy4mlx!19sChIJ4_N8dw-8EmsRNK4wo6A9isM?authuser=0&hl=zh-TW&rclk=1","Myer Bankstown","3.9","(1,363)","百貨公司","·","North Terrace","已打烊","· 開始營業時間：09:00","·","1300 112 460","https://tpc.googlesyndication.com/simgad/18240349033999992343?sqp=-oaymwEKCFAQXCABUAFYAQ&rs=AOga4qmaA3m5NKhFtBAmOHnVbZq2F_ml4A","店內購物","·","來店取貨","·","無接觸送餐服務","",""
"https://www.google.com/maps/place/SydneySuper8/data=!4m7!3m6!1s0x6b12b0362c4778c1:0x45ede870f15f44e8!8m2!3d-33.9014977!4d151.1784367!16s%2Fg%2F11bbrn17ss!19sChIJwXhHLDawEmsR6ERf8XDo7UU?authuser=0&hl=zh-TW&rclk=1","SydneySuper8","4.7","(436)","相片沖印店","·","457 King St","已打烊","· 開始營業時間：11:00","·","+61 2 8084 4132","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7XicEXCoocyKUIHj_GzH7YX66Cohhb07zc9PJjP4eo_LVh3fUUrlC7n7KQP3AtKA52Fyi4pVZJHFfKTtsrPpnVQ_foTz-EKobyiTs-uKGsEL2IqmRjklj5TeVEcJk9VGCdYw0FA=w138-h92-k-no","門市服務","·","線上預約服務","","","",""
"https://www.google.com/maps/place/Cult+Cameras/data=!4m7!3m6!1s0x6b12b1d9cee3d6ed:0x98b339abbdd1274!8m2!3d-33.901567!4d151.1784693!16s%2Fg%2F11mlkgbkm6!19sChIJ7dbjztmxEmsRdBLdu5oziwk?authuser=0&hl=zh-TW&rclk=1","Cult Cameras","5.0","(10)","相機專賣店","·","459 King St","已打烊","· 開始營業時間：10:30","·","+61 411 107 308","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdLbpJcqsoyKcgG_o51wMiBZ8uYh0jqHc2kUxilXKaft2HNUQRjj8bT9Aa3bZ5Y_qj8NMbQwf5I9-UWiZKHUJVMPokLEwMHq4rQRIst6tYpY6zKQk8Fp9ErHvdC4MQ6MrM6Ctda4-B9cU=w80-h142-k-no","門市服務","","","","","",""
"https://www.google.com/maps/place/Classic+Cameras+AU/data=!4m7!3m6!1s0x257820d30b5844c9:0x96a5e3184b24fb0d!8m2!3d-33.827468!4d151.2022759!16s%2Fg%2F11s45yh66d!19sChIJyURYC9MgeCURDfskSxjjpZY?authuser=0&hl=zh-TW&rclk=1","Classic Cameras AU","5.0","(39)","相機專賣店","·","Ste 20/37 Alexander St","已打烊","· 開始營業時間：週二09:30","·","+61 435 310 644","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZf7uA_rhQTdyZGc_ubJRdW11PaNeaZ1bmShIl8jvTtma0ZaM2mgzXLhgi0g_n_g9siB7TGj5K2VmYWgzW7cnVEfSW-_gArDV6UXpobUKb1hBrExR0HIZCKrcUInN7UQh5G2tR=w122-h92-k-no","外送","","","","","",""
"https://www.google.com/maps/place/digiDirect+Sydney/data=!4m7!3m6!1s0x6b12ae3f6f7aa6cf:0xb118e857485d3a34!8m2!3d-33.8687464!4d151.2063756!16s%2Fg%2F1wfvmtb2!19sChIJz6Z6bz-uEmsRNDpdSFfoGLE?authuser=0&hl=zh-TW&rclk=1","digiDirect Sydney","4.1","(1,369)","相機專賣店","·","·","已打烊","· 開始營業時間：10:00","Shop 3/75 King St","+61 2 8235 9600","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFCrA3UOJfuKHOAm8iPCaelZx8kEoacY2j_vaSC7_GKgMby-Nh9EooqImbQqe-5lxG53tWLzgP7p5RmjPRftDVAxHt9RHq3FnaVrQVQwY7Asb7clqLLft_6bkeBDxs6wAiRwjA=w124-h92-k-no","店內購物","·","來店取貨","·","外送","","·"
"https://www.google.com/maps/place/Camera+Warehouse/data=!4m7!3m6!1s0x6b12ae4011ac8f13:0x57c42c8e56a23739!8m2!3d-33.9483307!4d151.1397608!16s%2Fg%2F1tj4yw8d!19sChIJE4-sEUCuEmsROTeiVo4sxFc?authuser=0&hl=zh-TW&rclk=1","Camera Warehouse","4.7","(2,310)","相機專賣店","·","·","已打烊","· 開始營業時間：10:00","Unit 1/395 Princes Hwy","+61 2 9558 3116","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbLRq8k1EFC_5F7Od0-yu8j4M0HSeT_dZDNsFf1xNgvx3IW9UKt8gCN6HcUSzjhlhazNSTEpFvGKEiyLIot1Yv3T_D2MwFzdI07W_NaR1lxEK6UMxBjtQGeHH5hHEqVnd0-Mkv=w137-h92-k-no","店內購物","·","來店取貨","·","外送","","·"
"https://www.google.com/maps/place/Georges+Cameras/data=!4m7!3m6!1s0x6b12ae3f0d0b2d69:0x7e00f02e18a3ada8!8m2!3d-33.8694926!4d151.2068063!16s%2Fg%2F1hc1y2rbg!19sChIJaS0LDT-uEmsRqK2jGC7wAH4?authuser=0&hl=zh-TW&rclk=1","Georges Cameras","4.2","(3,663)","相機專賣店","·","·","已打烊","· 開始營業時間：09:00","387 George St","+61 2 9299 0177","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEMaCtbDOnw-H_9QgpTqWde6ODrqMooMMYnkNJ76RnU58x2mZGWNIGuDURrDLhLPqCLt3fvng0KFXOHmH4X6T95K2NR50H34yH_PncVH8E1X2P5vR7-_AO5grKbpHdguHqBYB0=w122-h92-k-no","來店取貨","·","外送","","","","·"
"https://www.google.com/maps/place/Sydney+Camera+Repairs/data=!4m7!3m6!1s0x6b12ba96e2ecc48b:0x5661ac1ab7243fcb!8m2!3d-33.8917206!4d151.1256592!16s%2Fg%2F11b6_dcbgf!19sChIJi8Ts4pa6EmsRyz8ktxqsYVY?authuser=0&hl=zh-TW&rclk=1","Sydney Camera Repairs","4.6","(347)","相機專賣店","·","·","已打烊","· 開始營業時間：10:00","36 Holden St","+61 400 993 182","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXugLT7k4hczy5TyDqvarappIWR1ykFaatMGuWWZr3J514PbwZPxp_P6jnUXOivOIzNlc-zUN6gDAngL3ibul-LTtjuT-vVgaKUQRNMrxUIZC-Z8DgwY63jlXJjsu-vpm4worE=w80-h106-k-no","門市服務","","","","","","·"
